категория,CLIENT_ID,fin_segment,first_prod_ddateid,first_prod,age,gender,cnt_zp,cnt_open_zp,cnt_deb,cnt_open_deb,rest_debet_card,rest_safe,cnt_cc,cnt_cc_with_lim,rest_cc_limit,cnt_csf,cnt_active_csf,rest_csf_start,cnt_pil,cnt_active_pil,rest_pil_start,cnt_depo,cnt_active_depo,rest_depo_now,cnt_cash,cnt_pos,cnt_easy_installment,flg_currency
не оформили PIL,12246,2,20180607,CC,28,M,1,1,0,0,"6,351.57",0.00,1,1,2100,0,0,0,0,0,0,0,0,0,44,191,0,Нет
оформили PIL,12247,5,20180504,CC,27,M,1,0,0,0,0.00,0.00,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,12248,2,20180420,CSF,28,M,0,0,0,0,0.00,0.00,4,1,8250,1,0,0,3,2,149540.7,0,0,0,0,1,0,Нет
оформили PIL,12249,3,20180420,CSF,32,M,0,0,1,1,0.00,0.00,1,0,0,1,1,"18,999",1,1,256671.12,0,0,0,0,0,0,Нет
оформили PIL,12250,1,20180421,CSF,30,M,0,0,1,1,1.45,0.00,1,0,0,3,0,0,1,1,21200,0,0,0,0,5,0,Нет
оформили PIL,12251,2,20180421,CC,30,M,0,0,0,0,0.00,0.00,2,0,0,0,0,0,2,1,49999,0,0,0,0,0,0,Нет
оформили PIL,12252,2,20180422,CSF,23,M,0,0,0,0,0.00,0.00,1,1,1000,1,1,"14,499",1,1,34250,0,0,0,2,0,0,Нет
оформили PIL,12253,2,20180423,CSF,40,M,0,0,0,0,0.00,0.00,3,2,12000,1,0,0,1,1,55399.99,0,0,0,27,0,0,Нет
оформили PIL,12254,0,20180427,CC,36,F,1,1,0,0,8.34,0.00,3,2,26000,0,0,0,1,0,0,0,0,0,32,41,0,Нет
оформили PIL,12255,0,20180423,CSF,43,F,0,0,0,0,0.00,0.00,2,2,22500,1,0,0,1,1,14000,0,0,0,23,12,0,Нет
оформили PIL,12256,2,20180423,PIL,58,F,0,0,0,0,0.00,0.00,2,1,23500,0,0,0,2,1,32847.5,0,0,0,8,1,0,Нет
оформили PIL,12257,2,20180830,CC,60,F,0,0,1,0,0.00,0.00,3,1,20000,0,0,0,3,1,30000,0,0,0,1,0,0,Нет
оформили PIL,12258,2,20180424,CSF,26,M,0,0,0,0,0.00,0.00,4,2,28000,1,0,0,2,1,46000,0,0,0,4,179,0,Нет
оформили PIL,12259,5,20180423,CSF,32,F,0,0,0,0,0.00,0.00,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12260,1,20180608,CSF,62,M,1,1,1,1,64.09,0.00,1,1,8650,1,0,0,0,0,0,0,0,0,13,10,0,Нет
